Flight Number,Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
IndiGo - 656,BOM,DEL,IndiGo ,05:00,07:05,2h 05m,"5,948",17-08-2025,Economy
IndiGo - 6045,BOM,DEL,IndiGo ,03:00,05:15,2h 15m,"5,380",17-08-2025,Economy
IndiGo - 2517,BOM,HDO,IndiGo ,07:40,09:40,2h,"6,411",17-08-2025,Economy
Air India Exp - 1124,BOM,DEL,Air India Exp ,00:35,02:55,2h 20m,"6,180",17-08-2025,Economy
IndiGo - 333,BOM,DEL,IndiGo ,08:05,10:15,2h 10m,"7,216",17-08-2025,Economy
Air India - 2970,BOM,DEL,Air India ,07:45,09:55,2h 10m,"8,013",17-08-2025,Economy
Air India - 2430,BOM,DEL,Air India ,10:00,12:15,2h 15m,"7,869",17-08-2025,Economy
Air India - 2432,BOM,DEL,Air India ,08:45,10:55,2h 10m,"8,084",17-08-2025,Economy
Air India - 2986,BOM,DEL,Air India ,00:50,03:00,2h 10m,"7,869",17-08-2025,Economy
Air India - 2960,BOM,DEL,Air India ,09:25,11:40,2h 15m,"8,228",17-08-2025,Economy
Air India - 2422,BOM,DEL,Air India ,01:50,04:10,2h 20m,"7,869",17-08-2025,Economy
Air India - 2954,BOM,DEL,Air India ,02:35,05:00,2h 25m,"7,869",17-08-2025,Economy
IndiGo - 6052,BOM,DEL,IndiGo ,10:00,12:20,2h 20m,"8,476",17-08-2025,Economy
IndiGo - 6028,BOM,DEL,IndiGo ,12:30,14:40,2h 10m,"9,976",17-08-2025,Economy
Air India - 2994,BOM,DEL,Air India ,10:30,12:45,2h 15m,"10,526",17-08-2025,Economy
Air India - 2419,BOM,DEL,Air India ,11:40,13:55,2h 15m,"10,526",17-08-2025,Economy
Air India - 2944,BOM,DEL,Air India ,14:40,16:55,2h 15m,"10,526",17-08-2025,Economy
Air India - 2952,BOM,DEL,Air India ,12:30,14:55,2h 25m,"10,526",17-08-2025,Economy
IndiGo - 6827,BOM,DEL,IndiGo ,11:15,13:30,2h 15m,"10,829",17-08-2025,Economy
IndiGo - 6704,BOM,DEL,IndiGo ,15:00,17:15,2h 15m,"10,829",17-08-2025,Economy
Akasa Air - 1127,BOM,DEL,Akasa Air ,13:00,15:15,2h 15m,"11,289",17-08-2025,Economy
IndiGo - 615,BOM,DEL,IndiGo ,13:35,15:45,2h 10m,"11,762",17-08-2025,Economy
Air India - 2591,BOM,IDR,Air India ,07:20,11:15,3h 55m,"12,093",17-08-2025,Economy
Akasa Air - 1128,DEL,BOM,Akasa Air ,16:00,18:20,2h 20m,"9,540",17-08-2025,Economy
Air India Exp - 1145,DEL,BOM,Air India Exp ,23:00,01:25,2h 25m,"9,649",17-08-2025,Economy
IndiGo - 6114,DEL,BOM,IndiGo ,22:00,00:20,2h 20m,"10,028",17-08-2025,Economy
Air India - 2999,DEL,BOM,Air India ,22:00,00:15,2h 15m,"10,494",17-08-2025,Economy
Air India - 2433,DEL,BOM,Air India ,21:30,23:55,2h 25m,"10,494",17-08-2025,Economy
Air India - 2439,DEL,BOM,Air India ,23:00,01:25,2h 25m,"10,494",17-08-2025,Economy
SpiceJet - 546,DEL,BOM,SpiceJet ,20:10,22:40,2h 30m,"10,122",17-08-2025,Economy
Air India - 2933,DEL,BOM,Air India ,15:30,17:45,2h 15m,"10,986",17-08-2025,Economy
IndiGo - 519,DEL,BOM,IndiGo ,23:30,01:45,2h 15m,"10,877",17-08-2025,Economy
